incident_time,incident_number,incident_location,nature,incident_ori,day_of_week,time_of_day,latitude,longitude,side_of_town,weather_code,nature_count,incident_rank,location_count,location_rank,EMSSTAT
2024-03-01 00:05:00,2024-00014834,4TH/SUNNYLANE,MVA Non Injury,OK0140200,6,0,35.300795,-97.441803,NE,3.0,5,214,1,138,False
2024-03-01 00:24:00,2024-00014835,12TH AVE NE / SONOMA PARK DR,Traffic Stop,OK0140200,6,0,35.232842,-97.422517,NE,3.0,41,1,1,138,False
2024-03-01 00:28:00,2024-00014836,1600 ANN BRANDEN BLVD,Disturbance/Domestic,OK0140200,6,0,35.185567,-97.41316,SE,3.0,14,76,1,138,False
2024-03-01 00:33:00,2024-00014837,500 OKMULGEE ST,Traffic Stop,OK0140200,6,0,35.209195,-97.435071,SE,3.0,41,1,1,138,False
2024-03-01 00:48:00,2024-00014838,1016 E LINDSEY ST,Traffic Stop,OK0140200,6,0,35.203726,-97.4209267,SE,3.0,41,1,1,138,False
2024-03-01 00:52:00,2024-00004392,2000 ANN BRANDEN BLVD,Transfer/Interfacility,EMSSTAT,6,0,35.1825386,-97.4162265,SE,3.0,19,42,1,138,True
2024-03-01 00:59:00,2024-00014839,N FLOOD AVE / W ROCK CREEK RD,Traffic Stop,OK0140200,6,0,35.247402,-97.43407,NE,3.0,41,1,1,138,False
2024-03-01 01:02:00,2024-00003323,3300 MARSHALL AVE,Fire Smoke Investigation,14005,6,1,35.180061,-97.4289662,SE,3.0,1,310,1,138,False
2024-03-01 01:03:00,2024-00014840,1115 W LINDSEY ST,Traffic Stop,OK0140200,6,1,35.203989,-97.4591302,SW,3.0,41,1,1,138,False
2024-03-01 01:07:00,2024-00014841,48TH AVE NW / KATHY LYNN DR,Traffic Stop,OK0140200,6,1,35.226087,-97.513714,NW,2.0,41,1,1,138,False
2024-03-01 01:17:00,2024-00014842,1392 W LINDSEY ST,Traffic Stop,OK0140200,6,1,35.203819,-97.4635491,SW,3.0,41,1,1,138,False
2024-03-01 01:24:00,2024-00014843,208 W TIMBERDELL RD,Traffic Stop,OK0140200,6,1,35.1966213,-97.4428814,SE,3.0,41,1,1,138,False
2024-03-01 01:31:00,2024-00014844,907 W LINDSEY ST,Traffic Stop,OK0140200,6,1,35.203961,-97.45325,SW,3.0,41,1,1,138,False
2024-03-01 01:31:00,2024-00014845,N FLOOD AVE / 24TH AVE NW,Traffic Stop,OK0140200,6,1,35.218387,-97.453001,SW,3.0,41,1,1,138,False
2024-03-01 01:31:00,2024-00014847,2960 CLASSEN BLVD,Trespassing,OK0140200,6,1,35.188416,-97.4210619,SE,3.0,12,117,1,138,False
2024-03-01 01:33:00,2024-00014846,1622 ALAMEDA ST,Traffic Stop,OK0140200,6,1,35.2182102,-97.3219496,SE,2.0,41,1,1,138,False
2024-03-01 01:41:00,2024-00014848,769 ASP AVE,Welfare Check,OK0140200,6,1,35.2115592,-97.4435541,SE,3.0,14,76,2,62,False
2024-03-01 01:41:00,2024-00003324,1523 MELROSE DR,Unconscious/Fainting,14005,6,1,35.2153487,-97.4729308,SW,3.0,5,214,2,62,True
2024-03-01 01:41:00,2024-00004393,1523 MELROSE DR,Falls,EMSSTAT,6,1,35.2153487,-97.4729308,SW,3.0,15,61,2,62,True
2024-03-01 01:54:00,2024-00014849,2741 CLASSEN BLVD,Traffic Stop,OK0140200,6,1,35.1897538,-97.4219213,SE,3.0,41,1,1,138,False
2024-03-01 01:59:00,2024-00014851,3300 HEALTHPLEX PKWY,Trespassing,OK0140200,6,1,35.2590797,-97.4893629,NW,2.0,12,117,6,16,False
2024-03-01 01:59:00,2024-00014850,576 S UNIVERSITY BLVD,Traffic Stop,OK0140200,6,1,35.21212,-97.445557,SW,3.0,41,1,1,138,False
2024-03-01 02:20:00,2024-00014853,400 26TH AVE NW,Alarm,OK0140200,6,2,35.2265847,-97.4828275,NW,2.0,10,152,3,44,False
2024-03-01 02:21:00,2024-00014852,209 CHALMETTE DR,Trespassing,OK0140200,6,2,35.2162148,-97.4136802,SE,2.0,12,117,3,44,False
2024-03-01 02:33:00,2024-00014854,2556 CLASSEN BLVD,Alarm Holdup/Panic,OK0140200,6,2,35.1943057,-97.4243898,SE,2.0,3,273,1,138,False
2024-03-01 02:53:00,2024-00003326,1150 ALAMEDA ST,Sick Person,14005,6,2,35.2182102,-97.3219496,SE,2.0,9,162,4,28,True
2024-03-01 02:53:00,2024-00004394,1150 ALAMEDA ST,Sick Person,EMSSTAT,6,2,35.2182102,-97.3219496,SE,2.0,9,162,4,28,True
2024-03-01 02:53:00,2024-00014855,1150 ALAMEDA ST,Public Intoxication,OK0140200,6,2,35.2182102,-97.3219496,SE,2.0,4,229,4,28,True
2024-03-01 02:53:00,2024-00014858,1150 ALAMEDA ST,Public Intoxication,OK0140200,6,2,35.2182102,-97.3219496,SE,2.0,4,229,4,28,True
2024-03-01 03:00:00,2024-00003325,800 CANADIAN TRAILS DR,Public Assist,14005,6,3,35.1807207,-97.4530722,SW,2.0,4,229,1,138,False
2024-03-01 03:13:00,2024-00014856,2815 MONITOR AVE,Larceny,OK0140200,6,3,35.1881568,-97.4355307,SE,2.0,9,162,1,138,False
2024-03-01 03:39:00,2024-00003327,2901 OAK TREE AVE,Sick Person,14005,6,3,35.183938,-97.423492,SE,2.0,9,162,4,28,True
2024-03-01 03:39:00,2024-00004395,2901 OAK TREE AVE,Sick Person,EMSSTAT,6,3,35.183938,-97.423492,SE,2.0,9,162,4,28,True
2024-03-01 03:54:00,2024-00014857,3601 N FLOOD AVE,Trespassing,OK0140200,6,3,35.2629029,-97.4742556,NW,3.0,12,117,1,138,False
2024-03-01 03:59:00,2024-00014859,604 RIDGE LAKE BLVD,Alarm,OK0140200,6,3,35.2129175,-97.3918852,SE,2.0,10,152,1,138,False
2024-03-01 04:06:00,2024-00004396,3300 HEALTHPLEX PKWY,Transfer/Interfacility,EMSSTAT,6,4,35.2590797,-97.4893629,NW,2.0,19,42,6,16,True
2024-03-01 04:15:00,2024-00004397,1544 OK-9,Chest Pain,EMSSTAT,6,4,35.235359,-97.1639417,NE,2.0,3,273,1,138,True
2024-03-01 04:20:00,2024-00014860,400 26TH AVE NW,Burglary,OK0140200,6,4,35.2265847,-97.4828275,NW,2.0,5,214,3,44,False
2024-03-01 04:28:00,2024-00014861,202 WOODCREST DR,Harassment / Threats Report,OK0140200,6,4,35.2487012,-97.4395388,NE,1.0,4,229,1,138,False
2024-03-01 04:44:00,2024-00014862,313 POTOMAC DR,Alarm,OK0140200,6,4,35.220755,-97.501298,SW,1.0,10,152,1,138,False
2024-03-01 05:39:00,2024-00014863,2600 W ROBINSON ST,Trespassing,OK0140200,6,5,35.2322376,-97.4819135,NW,0.0,12,117,1,138,False
